Date,Open,High,Low,Close,Adj Close,Volume
2015-01-12,44950.000000,46950.000000,44950.000000,46200.000000,46200.000000,57188
2015-01-13,46050.000000,46400.000000,45000.000000,45800.000000,45800.000000,41779
2015-01-14,45000.000000,45500.000000,44250.000000,45050.000000,45050.000000,63993
2015-01-15,45050.000000,45150.000000,44250.000000,45050.000000,45050.000000,18964
2015-01-16,45100.000000,45600.000000,44050.000000,44850.000000,44850.000000,27595
2015-01-19,45150.000000,45600.000000,44550.000000,44950.000000,44950.000000,28071
2015-01-20,44950.000000,45050.000000,44050.000000,44950.000000,44950.000000,36533
2015-01-21,45000.000000,45450.000000,44300.000000,44900.000000,44900.000000,31660
2015-01-22,44600.000000,44700.000000,43200.000000,43900.000000,43900.000000,97925
2015-01-23,43850.000000,44750.000000,43500.000000,44100.000000,44100.000000,51379
2015-01-26,44150.000000,44800.000000,43300.000000,44200.000000,44200.000000,45606
2015-01-27,44500.000000,46000.000000,44200.000000,45600.000000,45600.000000,55563
2015-01-28,45350.000000,46250.000000,44800.000000,45700.000000,45700.000000,61014
2015-01-29,45550.000000,48750.000000,45300.000000,47950.000000,47950.000000,126750
2015-01-30,48100.000000,48200.000000,46800.000000,47500.000000,47500.000000,79053
2015-02-02,47800.000000,47800.000000,46050.000000,46400.000000,46400.000000,64055
2015-02-03,46400.000000,48000.000000,46300.000000,47000.000000,47000.000000,60729
2015-02-04,47500.000000,47500.000000,45800.000000,45800.000000,45800.000000,53844
2015-02-05,45950.000000,46550.000000,45500.000000,45900.000000,45900.000000,24539
2015-02-06,45500.000000,46400.000000,44950.000000,45650.000000,45650.000000,41218
2015-02-09,45650.000000,47050.000000,45650.000000,46550.000000,46550.000000,29607
2015-02-10,46600.000000,46750.000000,43900.000000,45450.000000,45450.000000,76522
2015-02-11,44950.000000,45300.000000,43650.000000,43900.000000,43900.000000,67653
2015-02-12,43950.000000,45550.000000,43350.000000,43500.000000,43500.000000,78316
2015-02-13,44000.000000,44550.000000,43500.000000,43900.000000,43900.000000,46838
2015-02-16,44200.000000,44500.000000,42550.000000,43450.000000,43450.000000,75015
2015-02-17,43000.000000,43450.000000,41500.000000,41600.000000,41600.000000,88124
2015-02-23,41800.000000,43850.000000,41500.000000,43650.000000,43650.000000,69502
2015-02-24,43700.000000,46150.000000,43700.000000,46150.000000,46150.000000,148728
2015-02-25,46500.000000,47150.000000,46050.000000,46650.000000,46650.000000,166531
2015-02-26,46900.000000,46900.000000,44850.000000,44900.000000,44900.000000,75117
2015-02-27,45450.000000,45750.000000,44700.000000,45400.000000,45400.000000,51495
2015-03-02,45800.000000,46000.000000,44600.000000,45450.000000,45450.000000,33441
2015-03-03,45450.000000,46400.000000,44850.000000,46100.000000,46100.000000,75956
2015-03-04,46400.000000,46700.000000,45500.000000,46200.000000,46200.000000,51769
2015-03-05,46300.000000,48300.000000,46200.000000,47750.000000,47750.000000,113521
2015-03-06,48350.000000,48600.000000,47400.000000,47400.000000,47400.000000,49851
2015-03-09,47950.000000,48250.000000,46850.000000,47150.000000,47150.000000,37065
2015-03-10,47150.000000,47600.000000,45800.000000,46600.000000,46600.000000,65501
2015-03-11,46350.000000,46350.000000,45550.000000,45700.000000,45700.000000,36897
2015-03-12,45500.000000,46500.000000,44850.000000,45900.000000,45900.000000,44890
2015-03-13,45750.000000,46400.000000,45200.000000,45800.000000,45800.000000,28546
2015-03-16,45400.000000,45900.000000,44700.000000,45200.000000,45200.000000,40251
2015-03-17,45200.000000,46800.000000,44950.000000,45500.000000,45500.000000,70068
2015-03-18,46000.000000,46000.000000,45000.000000,45000.000000,45000.000000,40684
2015-03-19,46050.000000,46200.000000,44900.000000,45150.000000,45150.000000,58849
2015-03-20,44900.000000,47550.000000,44500.000000,45950.000000,45950.000000,291434
2015-03-23,46150.000000,47000.000000,46050.000000,46650.000000,46650.000000,52208
2015-03-24,47050.000000,47050.000000,46150.000000,46450.000000,46450.000000,30373
2015-03-25,46450.000000,46900.000000,45800.000000,46400.000000,46400.000000,22808
2015-03-26,46000.000000,46000.000000,45050.000000,45100.000000,45100.000000,67246
2015-03-27,45100.000000,45450.000000,44100.000000,44600.000000,44600.000000,31749
2015-03-30,44200.000000,45450.000000,44100.000000,44950.000000,44950.000000,33350
2015-03-31,45200.000000,45250.000000,44200.000000,44450.000000,44450.000000,31939
